"","unemployment_rate","percent_poverty","no_health_insurance","ed_percent_highschool","has_internet","percent_single_parent","percent_less_35k","state_county_fips","weighted_unemployment_rate","weighted_percent_poverty","weighted_no_health_insurance","weighted_ed_percent_highschool","weighted_has_internet","weighted_percent_single_parent","weighted_percent_less_35k"
"1798",0.051,0.15,0.1,0.059,0.821,0.07,0.413,35005,0.0176363475067423,0.0693648639759631,0.0280202670625507,-0.0195827862071608,-0.368401252415702,0.0139588591188332,0.200963905151918
"1799",0.137,0.22,0.091,0.055,0.788,0.081,0.456,35006,0.0473760707534059,0.101735133831413,0.0254984430269212,-0.0182551396846414,-0.3535934067035,0.0161523941232213,0.221887507867494
"1800",0.061,0.161,0.06,0.094,0.78,0.099,0.489,35007,0.0210944548610055,0.0744516206675337,0.0168121602375304,-0.0311996932792054,-0.350003625924784,0.0197418150394927,0.237945156463167
"1801",0.064,0.178,0.105,0.064,0.881,0.06,0.398,35009,0.0221318870672845,0.0823129719181429,0.0294212804156783,-0.02124234436031,-0.39532460825607,0.0119647363875713,0.193664973972067
"1802",0.106,0.051,0.041,0.062,0.827,0.179,0.554,35011,0.0366559379551899,0.0235840537518275,0.0114883094956458,-0.0205785210990503,-0.371093587999739,0.0356947968895879,0.269573858242525
"1803",0.077,0.215,0.103,0.11,0.868,0.042,0.443,35013,0.0266274266278267,0.0994229716988805,0.0288608750744272,-0.0365102793692829,-0.389491214490657,0.00837531547129994,0.215561767511622
"1804",0.045,0.112,0.095,0.062,0.892,0.051,0.289,35015,0.0155614830941844,0.0517924317687191,0.0266192537094232,-0.0205785210990503,-0.400260556826805,0.0101700259294356,0.140626074065144
"1805",0.071,0.174,0.037,0.117,0.829,0.081,0.473,35017,0.0245525622152687,0.0804632422121172,0.0103674988131438,-0.0388336607836918,-0.371991033194418,0.0161523941232213,0.230159629871326
"1806",0.07,0.113,0.051,0.04,0.554,0.16,0.652,35019,0.0242067514798424,0.0522548641952255,0.0142903362019009,-0.0132764652251938,-0.248592318926065,0.0319059637001903,0.317260208617557
"1807",0.011,0.095,0.078,0.07,0.602,0.284,0.565,35021,0.00380391808968952,0.04393108051811,0.0218558083087896,-0.0232338141440891,-0.270131003598359,0.0566330855678377,0.274926407774416
"1808",0.076,0.219,0.042,0.05,0.789,0.065,0.453,35023,0.0262816158924003,0.101272701404906,0.0117685121662713,-0.0165955815314922,-0.354042129300839,0.0129617977532023,0.220427721631523
"1809",0.063,0.124,0.13,0.052,0.881,0.04,0.289,35025,0.0217860763318582,0.0573416208867962,0.0364263471813159,-0.0172594047927519,-0.39532460825607,0.00797649092504757,0.140626074065144
"1810",0.044,0.061,0.105,0.081,0.87,0.072,0.391,35027,0.0152156723587581,0.0282083780168917,0.0294212804156783,-0.0268848420810174,-0.390388659685336,0.0143576836650856,0.190258806088136
"1811",0.034,0.025,0.032,0.408,0.936,0.061,0.102,35028,0.0117575650044949,0.0115608106626605,0.00896648546001623,-0.135419945296976,-0.420004351109741,0.0121641486606975,0.049632732022992
"1812",0.118,0.248,0.086,0.048,0.75,0.082,0.569,35029,0.0408056667803058,0.114683241773592,0.0240974296737936,-0.0159317582702325,-0.3365419480046,0.0163518063963475,0.276872789422377
"1813",0.14,0.301,0.199,0.055,0.633,0.039,0.513,35031,0.0484135029596848,0.139192160378433,0.0557603314544759,-0.0182551396846414,-0.284041404115883,0.00777707865192138,0.24962344635093
"1814",0.091,0.085,0.05,0.05,0.624,0.02,0.535,35033,0.0314687769237951,0.0393067562530458,0.0140101335312754,-0.0165955815314922,-0.280002900739827,0.00398824546252378,0.260328545414713
"1815",0.076,0.174,0.085,0.069,0.867,0.058,0.427,35035,0.0262816158924003,0.0804632422121172,0.0238172270031681,-0.0229019025134593,-0.389042491893318,0.011565911841319,0.20777624091978
"1816",0.052,0.12,0.06,0.068,0.723,0.155,0.583,35037,0.0179821582421687,0.0554918911807705,0.0168121602375304,-0.0225699908828294,-0.324426437876435,0.0309089023345593,0.283685125190238
"1817",0.079,0.172,0.091,0.066,0.676,0.095,0.443,35039,0.0273190480986793,0.0795383773591044,0.0254984430269212,-0.0219061676215697,-0.30333647580148,0.018944165946988,0.215561767511622
"1818",0.087,0.197,0.109,0.083,0.873,0.05,0.428,35041,0.0300855339820899,0.0910991880217649,0.0305420910981803,-0.0275486653422771,-0.391734827477355,0.00997061365630946,0.20826283633177
"1819",0.07,0.09,0.088,0.12,0.899,0.044,0.248,35043,0.0242067514798424,0.0416189183855779,0.0246578350150446,-0.0398293956755813,-0.403401615008181,0.00877414001755232,0.120675662173549
"1820",0.087,0.16,0.135,0.062,0.82,0.055,0.358,35045,0.0300855339820899,0.0739891882410273,0.0378273605344435,-0.0205785210990503,-0.367952529818363,0.0109676750219404,0.174201157492462
"1821",0.083,0.202,0.057,0.097,0.726,0.099,0.541,35047,0.0287022910403846,0.093411350154297,0.0159715522256539,-0.0321954281710949,-0.325772605668453,0.0197418150394927,0.263248117886654
